"ID","TreatmentDate","OptInDate","GMV2015"
29070,2016-08-08,NA,15803
115688,2016-06-13,NA,51659.74
15991,2016-06-06,NA,14983.49
171354,2016-06-13,NA,13165.97
127632,2016-06-21,2016-06-24,63753.25
134091,2016-06-21,NA,26868.39
19853,2016-07-26,2016-08-10,14254.36
113933,2016-06-06,2016-09-20,35589.98
115320,2016-06-13,2016-06-14,29802.83
49471,2016-06-13,2016-06-13,113060.34
56872,2016-06-21,NA,15754.94
157147,2016-06-13,2016-06-15,12899.75
40584,2016-06-13,2016-06-14,17880.63
84788,2016-06-06,NA,12094.55
122706,2016-07-26,2016-07-31,11954.61
89164,2016-08-08,2016-08-13,10561.43
49246,2016-06-21,NA,19674.07
93521,2016-08-08,NA,12600
25373,2016-08-08,NA,14828.22
168806,2016-06-13,2016-06-13,20170.92
63568,2016-06-21,NA,224936
80126,2016-06-13,NA,21062.42
118461,2016-08-08,NA,12076.87
64730,2016-08-08,NA,14142.59
59572,2016-06-13,2016-06-13,20554.78
174356,2016-07-26,2016-09-12,43175.5
99524,2016-06-13,2016-07-06,31924.38
77436,2016-06-13,2016-09-27,18059.82
13341,2016-06-13,NA,150942.61
78350,2016-06-13,2016-06-18,67948.48
167623,2016-08-08,2017-01-13,124750.66
86879,2016-06-21,2016-06-27,30345.83
127280,2016-06-21,2016-06-23,10381.12
20636,2016-05-19,NA,20583.46
67225,2016-06-21,2016-06-22,151660.82
163341,2016-06-21,NA,40003.5
115778,2016-08-08,2016-08-12,46215.28
84688,2016-06-13,2016-06-28,11773.99
80141,2016-06-13,NA,18050.32
153181,2016-06-21,2016-07-13,137880.69
25042,2016-06-06,NA,41857.7
11509,2016-06-13,NA,39139.37
81602,2016-07-26,2016-08-09,78097.31
110834,2016-05-19,2017-01-30,48294.58
4567,2016-06-21,NA,272155.7
4454,2016-08-08,2016-08-14,16129.59
156881,2016-06-06,NA,13481.49
168049,2016-06-13,NA,19083.22
88889,2016-08-08,2016-08-19,15340.15
68800,2016-08-08,2016-08-11,255986.17
118843,2016-08-08,2016-09-02,16676.14
54746,2016-06-13,2016-06-14,12366
88558,2016-06-13,NA,13718.73
138411,2016-08-08,2017-01-20,88556.96
88041,2016-07-26,NA,30353.14
27496,2016-08-08,NA,2035615.16
144225,2016-06-21,NA,36687.35
103256,2016-05-19,NA,27334.45
108268,2016-08-08,2016-08-12,4241773.82
169773,2016-06-21,NA,35665.65
19177,2016-08-08,NA,38878.44
166270,2016-08-08,2016-10-10,25833.49
77319,2016-06-21,2017-03-11,11768.39
136625,2016-06-21,2016-06-27,330074.96
125987,2016-06-21,2016-06-22,12810
44111,2016-08-08,NA,326487.73
155445,2016-07-26,2016-10-04,301145.44
68251,2016-08-08,NA,29110.35
43840,2016-08-08,2016-08-09,10005
53795,2016-08-08,NA,11279.91
132769,2016-07-26,NA,32093.01
166724,2016-06-13,2016-06-13,14867.13
162308,2016-06-21,2016-06-21,16887.77
